Name,value,zh(中文),en(英语),zh_tw(台湾),zh_tw(香港),,
appName,appName,Cold Stone,Cold Stone,Cold Stone,Cold Stone,,
settingLanguageDefault,settingLanguageDefault,跟随系统,Follow System,跟隨系統,跟隨系統,,
stringConfirm,stringConfirm,确认,Confirm,確認,確認,,
stringCancel,stringCancel,取消,Cancel,取消,取消,,
stringDiscover,stringDiscover,发现,Discover,發現,發現,,
stringAvatar,stringAvatar,头像,Profile Photo,頭像,頭像,,
stringUid,stringUid,UID,UID,UID,UID,,
stringPhone,stringPhone,电话,Phone,電話,電話,,
stringEmail,stringEmail,邮箱,Email,郵箱,郵箱,,
stringLoginpassword,stringLoginpassword,登录密码,Login Password,登入密碼,登入密碼,,
stringAccount,stringAccount,账号,Account,帳號,帳號,,
stringNickname,stringNickname,昵称,Nickname,昵稱,昵稱,,
stringHelp,stringHelp,帮助中心,Help Center,幫助中心,幫助中心,,
stringcommonproblem,stringcommonproblem,常见问题,Common Problem,常見問題,常見問題,,
profileLogin,profileLogin,登录账号,Login Account,登入帳號,登入帳號,,
profileTool,profileTool,钱包工具,Wallet Tools,錢包工具,錢包工具,,
profileHelp,profileHelp,帮助中心,Help Center,幫助中心,幫助中心,,
profileAddressBook,profileAddressBook,地址簿,Address Book,地址簿,地址簿,,
profileMall,profileMall,概览,Overview,概覽,概覽,,
profileLanguage,profileLanguage,多语言,Language,多語言,多語言,,
profileQR,profileQR,二维码容量,QR Code Capacity,二維碼容量,二維碼容量,,
profileAbout,profileAbout,关于,About,關於,關於,,
profileCurrency,profileCurrency,货币单位,Currency,貨幣單位,貨幣單位,,
qrStandard,qrStandard,标准,Standard,標準,標準,,
qrSmall,qrSmall,较小,Small,較小,較小,,
qrLarge,qrLarge,较大,Large,較大,較大,,
qrSuperLarge,qrSuperLarge,超大,Super Large,超大,超大,,
qrBest,qrBest,推荐,(Recommend),推薦,推薦,,
clientNetError,clientNetError,网络异常，请检网络连接状态,"Network abnormality, please check the network connection status",網絡异常，請檢網絡連接狀態,網絡异常，請檢網絡連接狀態,,
timeOutError,timeOutError,请求超时!请稍后再试,Request timed out! Please try again later,請求超時！ 請稍後再試,請求超時！ 請稍後再試,,
serverNetError,serverNetError,服务器连接出现问题\n请稍后重试或联系客服处理,There is a problem with the connection to the server \nPlease try again or contact the customer service,服務器連接出現問題\n請稍後重試或聯系客服處理,服務器連接出現問題\n請稍後重試或聯系客服處理,,
netConnectError,netConnectError,网络未连接，请检查后重试,"The network is not connected, please check and try again",網絡未連接，請檢查後重試,網絡未連接，請檢查後重試,,
cancelConnectError,cancelConnectError,请求取消,Request cancellation,請求取消,請求取消,,
qrTip,qrTip,二维码容量越小扫码识别越快，但会导致二维码的页数增多,"The smaller the QR code capacity, the faster the code scanning and recognition will be, but it will increase the number of QR code pages",二維碼容量越小掃碼識別越快，但會導致二維碼的頁數增多,二維碼容量越小掃碼識別越快，但會導致二維碼的頁數增多,,
emptyData,emptyData,暂无数据,No data,暫無數據,暫無數據,,
dataError,dataError,加载失败,Failed to load,加載失敗,加載失敗,,
reload,reload,重新加载,Reload,重新加載,重新加載,,
exitApplication,exitApplication,再按一次退出应用,Double click out,再按一次退出應用,再按一次退出應用,,
releaseText,releaseText,释放立即刷新,release refresh immediately,釋放立即重繪,釋放立即重繪,,
refreshingText,refreshingText,正在刷新...,Refreshing...,正在重繪…,正在重繪…,,
completeText,completeText,刷新完成,Completed,重繪完成,重繪完成,,
idleText,idleText,下拉可以刷新,Pull down to refresh,下拉可以重繪,下拉可以重繪,,
loadingText,loadingText,正在加载中...,Loading…,正在加載中…,正在加載中…,,
pullUpToLoad,pullUpToLoad,上拉加载更多,Pull up to load,上拉加載更多,上拉加載更多,,
canLoadingText,canLoadingText,松手加载更多,Release to start loading statistics,鬆手加載更多,鬆手加載更多,,
noDataText,noDataText,没有更多数据了,No more data,沒有更多數據了,沒有更多數據了,,
aboutKS,aboutKS,关于,About,關於,關於,,
userAgreement,userAgreement,用户协议,User Agreement,使用者協定,使用者協定,,
wallet,wallet,钱包,Wallet,錢包,錢包,,
send,send,发送,Send,發送,發送,,
receive,receive,接收,Receive,接收,接收,,
scan,scan,扫一扫,Scan ,掃一掃,掃一掃,,
activity,activity,交易记录,Activity,交易記錄,交易記錄,,
currencySearch,currencySearch,币种搜索,Search for coins,幣種蒐索,幣種蒐索,,
allWallet,allWallet,所有钱包,All wallets,所有錢包,所有錢包,,
totalAsset,totalAsset,资产总值,Total Asset,資產總值,資產總值,,
loginString,loginString,登录,Log in,登入,登入,,
loginPhone,loginPhone,手机号,Phone Number,手機號,手機號,,
loginPhoneHintText,loginPhoneHintText,输入手机号,Enter Phone Number,輸入手機號,輸入手機號,,
loginEmail,loginEmail,邮箱,Email,郵箱,郵箱,,
loginEmailHintText,loginEmailHintText,输入邮箱,Enter Email,輸入郵箱,輸入郵箱,,
loginPassword,loginPassword,密码,Password,密碼,密碼,,
loginPasswordHintText,loginPasswordHintText,输入密码,Enter Password,輸入密碼,輸入密碼,,
loginForgetPassword,loginForgetPassword,忘记密码？,Forgot Your Password?,忘記密碼？,忘記密碼？,,
loginRegisterNew,loginRegisterNew,注册新账号,Register a New Account,注册新帳號,注册新帳號,,
loginOkPhone,loginOkPhone,请输入正确的手机号,Please enter a valid phone number,請輸入正確的手機號,請輸入正確的手機號,,
loginOkEmail,loginOkEmail,请输入正确的邮箱,Please enter your vaild email,請輸入正確的郵箱,請輸入正確的郵箱,,
loginPswTip,loginPswTip,请设置6-20个数字和字母组成的密码,Please set a password of 6-20 digits and letters,請設定6-20個數位和字母組成的密碼,請設定6-20個數位和字母組成的密碼,,
loginSuccess,loginSuccess,登录成功,Success,登入成功,登入成功,,
emptyWallethint,emptyWallethint,保护资产安全，收发快捷方便,"Protect asset safety, convenient to send and receive",保護資產安全，收發快捷方便,保護資產安全，收發快捷方便,,
stringGuideTitle,stringGuideTitle,不止超越 更重安全,"More than surpassing, more safety",不止超越更重安全,不止超越更重安全,,
stringGuideSubTitle,stringGuideSubTitle,冷热分离 私钥永不触网,"Hot and cold separation, private key never touches the Internet",冷熱分離私密金鑰永不觸網,冷熱分離私密金鑰永不觸網,,
stringBindNow,stringBindNow,现在绑定,Bind now,現在綁定,現在綁定,,
stringBindBuyU1,stringBindBuyU1,选购 Ultra,Buy Ultra1,選購Ultra,選購Ultra,,
stringGuideimmediatelyExperience,stringGuideimmediatelyExperience,立即体验,Begin,立即體驗,立即體驗,,
stringAllWallet,stringAllWallet,所有钱包,All wallets,所有錢包,所有錢包,,
stringDefaultWallet,stringDefaultWallet,使用中,Default,使用中,使用中,,
stringBalance,stringBalance,余额,Balance,餘額,餘額,,
stringRegister,stringRegister,注册,Register,注册,注册,,
stringCode,stringCode,验证码,Verification Code,驗證碼,驗證碼,,
stringInputCode,stringInputCode,输入验证码,Enter Verification Code,輸入驗證碼,輸入驗證碼,,
stringGetCode,stringGetCode,获取验证码,Get Code,獲取驗證碼,獲取驗證碼,,
stringInvitationCode,stringInvitationCode,邀请码（选填）,Invitation code (optional),邀請碼（選填）,邀請碼（選填）,,
stringInputInvitationCode,stringInputInvitationCode,输入邀请码,Enter invitation code,輸入邀請碼,輸入邀請碼,,
stringCollection,stringCollection,收款,Receive,收款,收款,,
stringReceiveAddress,stringReceiveAddress,收款地址,Receive,收款地址,收款地址,,
stringCopyAddress,stringCopyAddress,复制地址,Copy,複製地址,複製地址,,
stringSaveImage,stringSaveImage,保存图片,Save,保存圖片,保存圖片,,
stringAgreement1,stringAgreement1,我已阅读并同意,I have read and agree,我已閱讀並同意,我已閱讀並同意,,
stringAgreement2,stringAgreement2,《用户协议》, User Agreement,《用戶協議》,《用戶協議》,,
stringHasAccount,stringHasAccount,已有账号，,"Already have an account,",已有帳號，,已有帳號，,,
stringGotoLogin,stringGotoLogin,立即登录, Log in now,立即登入,立即登入,,
stringCopySuccess,stringCopySuccess,复制成功,Copied successfully,複製成功,複製成功,,
stringAll,stringAll,全部,All,全部,全部,,
stringTransferSend,stringTransferSend,转帐,Send,轉帳,轉帳,,
stringSendAddress,stringSendAddress,发送地址,From,發送地址,發送地址,,
stringReciveAddress,stringReciveAddress,接收地址,To,接收地址,接收地址,,
stringComplte,stringComplte,完成,Completed,完成,完成,,
stringTxFail,stringTxFail,已失败,Failed,已失敗,已失敗,,
stringReadAgreement,stringReadAgreement,请阅读并同意《用户服务协议》,Please read and agree to the User Service Agreement,請閱讀並同意《用戶服務協議》,請閱讀並同意《用戶服務協議》,,
stringOKCode,stringOKCode,请输入正确的验证码,Please enter the correct verification code,請輸入正確的驗證碼,請輸入正確的驗證碼,,
stringPswTip1,stringPswTip1,6-20个字符,6-20 characters,6-20個字元,6-20個字元,,
stringPswTip2,stringPswTip2,密码不可以为空,Password cannot be empty,密碼不可以為空,密碼不可以為空,,
stringPswTip3,stringPswTip3,必须同时包含字母及数字，不可以包含特殊字符,"Must contain both letters and numbers, and cannot contain special characters",必須同時包含字母及數位，不可以包含特殊字元,必須同時包含字母及數位，不可以包含特殊字元,,
stringPswTip4,stringPswTip4,与首次输入密码相同,Same as the first password entered,與首次輸入密碼相同,與首次輸入密碼相同,,
stringPswTip5,stringPswTip5,确认密码不可以为空,Confirm password cannot be empty,確認密碼不可以為空,確認密碼不可以為空,,
stringConfirmPsw,stringConfirmPsw,确认密码,Confirm password,確認密碼,確認密碼,,
stringConfirmPswHit,stringConfirmPswHit,再次输入密码,Enter password again,再次輸入密碼,再次輸入密碼,,
stringSetPassword,stringSetPassword,设置密码,Set password,設置密碼,設置密碼,,
stringRegisterSuccess,stringRegisterSuccess,注册成功,Register successful,注册成功,注册成功,,
forgetTitle,forgetTitle,忘记密码,Forgot password,忘記密碼,忘記密碼,,
resetPasswordSuccess,resetPasswordSuccess,重置成功,Reset successful,重置成功,重置成功,,
sendAddress,sendAddress,发送地址,From,發送地址,發送地址,,
sendCoin,sendCoin,发送币种,Send Coin,發送幣種,發送幣種,,
receiveAddress,receiveAddress,接收地址,To,接收地址,接收地址,,
sendNumber,sendNumber,数量,Amount,數量,數量,,
sendAvailable,sendAvailable,可用,Usable,可用,可用,,
sendButton,sendButton,转账,Send,轉帳,轉帳,,
sendMaxText,sendMaxText,最大,Max,最大,最大,,
stringChange,stringChange,修改,Change,修改,修改,,
stringChangePassword,stringChangePassword,修改密码,Change Password,修改密碼,修改密碼,,
oldPassword,oldPassword,旧密码,Old Password,舊密碼,舊密碼,,
oldHintPassword,oldHintPassword,输入旧密码,Enter the old password,輸入舊密碼,輸入舊密碼,,
newPassword,newPassword,新密码,New Password,新密碼,新密碼,,
